tahunbenar,rho,theta
1925.2720000000002,11.13,58.1
1925.836,10.98,56.4
1926.265,10.95,54.9
1926.7579999999998,11.09,54.2
1927.912,10.91,52.5
1928.7879999999998,10.36,51.8
1928.797,10.54,51.2
1928.943,10.76,50.3
1929.8410000000001,10.51,48.6
1929.848,9.86,47.8
1930.854,9.61,45.2
1930.888,10.23,46.0
1932.75,9.16,41.8
1932.829,9.04,40.6
1933.789,8.88,37.5
1933.8129999999999,8.71,39.0
1934.797,8.3,35.2
1936.221,7.49,29.3
1936.854,6.86,27.2
1937.876,6.1,21.1
1937.884,5.96,21.4
1937.886,6.66,20.1
1938.848,5.32,15.9
1955.9520000000002,7.309,105.24
1955.9520000000002,7.198,105.52
1955.957,7.247,105.4
1955.957,7.065,104.93
1955.9660000000001,7.251,105.49
1955.9660000000001,7.086,105.47
1955.971,7.128,105.61
1955.971,7.098,105.39
1955.974,7.117,105.68
1955.974,7.057,105.61
1956.0120000000002,7.206,105.13
1956.0120000000002,7.182,105.19
1956.02,7.238,105.59
1956.0420000000001,7.202,104.52
1956.231,7.317,103.59
1956.7839999999999,7.562,101.53
1956.793,7.54,100.95
1956.81,7.507,101.45
1956.8229999999999,7.539,101.42
1956.8229999999999,7.567,101.32
1956.855,7.509,101.55
1956.858,7.564,101.96
1956.861,7.549,101.2
1956.891,7.504,102.0
1957.713,7.912,98.31
1957.721,7.896,98.65
1957.724,7.918,98.3
1957.7320000000002,7.932,97.75
1957.7320000000002,7.932,98.35
1957.737,7.967,98.41
1957.743,7.944,97.74
1957.7479999999998,7.857,98.37
1957.754,7.921,98.08
1957.7620000000002,7.914,98.33
1957.7620000000002,7.959,98.0
1957.765,7.934,98.58
1957.765,7.907,98.19
1957.767,7.838,98.6
1957.769,7.941,97.62
1957.773,7.851,97.91
1957.773,7.972,98.28
1957.776,7.962,97.72
1957.7779999999998,7.931,98.13
1957.781,7.878,98.31
1957.786,7.943,97.96
1957.789,7.927,98.09
1957.797,7.968,97.83
1957.8,7.965,97.45
1957.806,7.94,98.25
1957.808,7.847,98.04
1957.808,7.921,98.24
1957.8139999999999,7.958,97.55
1957.816,7.977,98.0
1957.825,8.005,97.45
1957.825,7.979,97.42
1957.83,7.972,98.16
1957.8329999999999,7.982,97.41
1957.836,7.988,97.46
1957.836,7.998,97.88
1957.838,7.978,98.15
1957.838,7.98,97.63
1957.8410000000001,7.966,97.86
1957.849,7.982,97.73
1957.858,7.872,98.05
1957.884,8.002,97.3
1957.885,7.958,97.74
1957.885,8.003,97.75
1957.888,7.998,97.93
1957.899,7.985,97.97
1957.899,8.001,97.67
1957.904,8.03,97.77
1957.9070000000002,7.968,98.07
1957.915,8.014,97.59
1957.9620000000002,8.077,97.51
1957.9620000000002,8.07,97.45
1957.964,8.058,96.95
1957.981,8.111,97.3
1957.981,8.003,96.83
1958.049,8.071,96.78
1958.059,7.925,97.3
1958.0620000000001,8.118,97.15
1958.0620000000001,8.125,96.87
1958.12,7.966,96.23
1958.1470000000002,7.985,96.59
1958.889,8.445,93.45
1960.7679999999998,9.011,88.37
1960.776,9.153,88.14
1960.787,9.106,88.15
1960.891,9.157,87.28
1960.921,9.113,88.08
1961.806,9.364,86.39
1961.809,9.484,85.95
1961.8139999999999,9.42,85.58
1961.8220000000001,9.433,85.66
1961.852,9.463,84.62
1961.9070000000002,9.468,84.02
1962.9089999999999,9.755,81.79
1962.92,9.726,82.41
1962.9470000000001,9.76,82.84
1962.9470000000001,9.835,83.04
1962.9470000000001,9.951,81.89
1962.95,9.94,81.92
1962.9879999999998,9.968,81.76
1962.9879999999998,9.94,81.85
1962.9879999999998,9.83,82.25
1963.098,9.955,82.82
1964.045,10.193,79.09
1964.05,10.08,78.77
1964.116,10.178,79.43
1964.1429999999998,10.308,79.75
1964.1429999999998,10.233,78.24
1964.1429999999998,10.435,78.47
1965.171,10.434,77.1
1965.171,10.372,77.33
1966.266,10.604,74.89
1966.2939999999999,10.63,74.48
1967.207,10.83,73.48
1974.797,11.282,58.22
1974.8110000000001,11.263,58.17
1974.819,11.215,57.76
1974.819,11.214,58.43
1974.8220000000001,11.225,58.49
1974.8220000000001,11.203,58.45
1974.8220000000001,11.225,58.77
1974.846,11.216,57.97
1974.8470000000002,11.13,58.38
1974.855,11.11,58.5
1974.855,11.206,57.98
1974.8570000000002,11.169,57.92
1974.8629999999998,11.213,58.08
1974.879,11.256,58.15
1974.945,11.351,58.12
1974.95,11.28,58.5
1975.013,11.183,57.93
1975.092,11.175,57.76
1975.171,11.232,57.9
1976.1170000000002,11.04,56.1
1976.1170000000002,11.2,56.0
1976.757,11.09,54.4
1976.79,10.92,54.3
1976.799,11.05,54.8
1976.8039999999999,11.1,55.3
1976.8039999999999,11.03,55.3
1976.807,11.02,55.2
1976.807,10.98,54.7
1976.9029999999998,11.03,54.3
1976.9029999999998,10.97,54.7
1976.96,11.02,54.3
1976.96,11.08,54.3
1976.9620000000002,10.913,54.88
1976.9620000000002,10.964,55.16
1976.9779999999998,11.148,53.89
1976.9779999999998,11.18,53.72
1977.003,11.118,55.24
1977.027,11.029,54.79
1977.852,10.875,52.18
1977.855,10.935,52.73
1977.8770000000002,10.922,53.35
1977.8770000000002,10.85,53.09
1977.9370000000001,10.758,53.53
1977.9370000000001,10.81,53.03
1977.953,10.93,54.11
1978.819,10.579,50.4
1978.8220000000001,10.615,50.57
1978.83,10.698,49.22
1978.836,10.718,49.71
1978.8410000000001,10.697,51.05
1979.079,10.807,49.52
1979.945,10.345,47.66
1979.9479999999999,10.531,48.43
1979.964,10.482,47.41
1979.967,10.435,47.73
1980.025,10.326,48.44
1980.068,10.457,47.09
1980.068,10.377,47.89
1980.126,10.309,47.24
1980.128,10.267,47.94
1980.161,10.47,47.79
1980.7620000000002,10.288,46.19
1980.8110000000001,9.851,46.95
1981.014,10.25,45.61
1981.055,10.192,45.44
1981.11,9.929,45.11
1981.729,9.814,43.91
1981.7420000000002,9.786,43.8
1981.756,9.847,42.86
1981.8470000000002,9.813,43.83
1981.9560000000001,9.796,42.98
1983.9229999999998,8.838,39.46
1983.932,9.011,38.82
1984.8629999999998,8.377,35.18
1984.88,8.437,34.95
1984.888,8.491,35.45
1985.02,8.537,34.74
1985.0710000000001,8.19,35.18
1986.085,7.675,32.67
1986.825,7.062,27.1
1986.8270000000002,7.143,27.25
1986.8270000000002,7.171,26.54
1986.921,7.101,26.41
1986.921,7.074,25.53
1986.9289999999999,7.017,26.39
1986.9289999999999,7.141,26.34
